Ticker,Name
ATCO-B.ST, Atlas Copco AB
INVE-B.ST, Investor AB
VOLV-B.ST, Volvo AB (Class B)
VOLV-A.ST, Volvo AB (Class A)
HEXA-B.ST, Hexagon AB (Class B)
EVO.ST, Evolution AB
ASSA-B.ST, Assa Abloy AB (B)
SAND.ST, Sandvik AB
EQT.ST, EQT AB
SEB-A.ST, Skandinaviska Enskilda Banken AB
HM-B.ST, H&M Hennes & Mauritz AB
EPI-A.ST, Elekta AB
NIBE-B.ST, NIBE Industrier AB
ESSITY-B.ST, Essity AB
SWED-A.ST, Swedbank AB
ERIC-A.ST, Telefonaktiebolaget LM Ericsson (Class A)
ERIC-B.ST, Telefonaktiebolaget LM Ericsson (Class B)
SHB-A.ST, Svenska Handelsbanken AB (Class A)
ALFA.ST, Alfa Laval AB
INDU-A.ST, Industrivärden AB (Class A)
VOLCAR-B.ST, Volvo Car AB (Class B)
LUND-B.ST, Lundin Energy AB (Class B)
SCA-B.ST, Svenska Cellulosa Aktiebolaget SCA (Class B)
LIFCO-B.ST, Lifco AB (Class B)
TELIA.ST, Telia Company AB
BOL.ST, Boliden AB
INDT.ST, Indutrade AB
SKF-B.ST, AB SKF (Class B)
BEIJ-B.ST, Beijer Electronics Group AB (Class B)
SAAB-B.ST, Saab AB (Class B)
ALIV-SDB.ST, Autoliv Inc (Class B)
SAGA-B.ST, Sagax AB (Class B)
SSAB-B.ST, SSAB AB (Class B)
TREL-B.ST, Trelleborg AB (Class B)
HOLM-B.ST, Holmen AB (Class B)
GETI-B.ST, Getinge AB (Class B)
TEL2-B.ST, Tele2 AB
SOBI.ST, Swedish Orphan Biovitrum AB
ADDT-B.ST, Addtech AB (Class B)
SKA-B.ST, Skanska AB (Class B)
AAK.ST, AAK AB
AXFO.ST, Axfood AB
HUSQ-A.ST, Husqvarna AB (Class A)
SWEC-A.ST, Sweco AB (Class A)
SECU-B.ST, Securitas AB (Class B)
BALD-B.ST, Balder AB (Class B)
KINV-A.ST, Kinnevik AB (Class A)
CAST.ST, Castellum AB
ELUX-A.ST, Electrolux AB (Class A)
HPOL-B.ST, Hexpol AB (Class B)
EMBRAC-B.ST, Embracer Group AB (Class B)
EKTA-B.ST, Ektornet Fastigheter AB (Class B)
PDX.ST, Probi AB
OLK, Öresund Limited
MTRS.ST, MedCap AB
BILL.ST, BillerudKorsnäs AB
LOOMIS.ST, Loomis AB
SINCH.ST, Sinch AB
VPLAY-B.ST, Vostok New Ventures Ltd (Class B)
HTRO.ST, Haldex AB
PEAB-B.ST, Peab AB (Class B)
TRUE-B.ST, Truesec AB (Class B)
OTLY, Oatly Group AB
SF.ST, SF Studios AB
NCC-B.ST, NCC AB (Class B)
MTG-B.ST, Modern Times Group MTG AB (Class B)
CLA-B.ST, Clas Ohlson AB (Class B)
CALT, Calliditas Therapeutics AB
3B7.F, BioInvent International AB
ORRON.ST, Ovzon AB
EG7.ST, Enad Global 7 AB
NPAPER.ST, Nordic Paper Holding AB
RROS.ST, Rottneros AB
G5EN.ST, G5 Entertainment AB
TETY.ST, Tethys Oil AB
BRG-B.ST, Bergs Timber AB (Class B)
BORG.ST, BorgWarner Inc.
THUNDR.ST, Thunderful Group AB
STAR-B.ST, Starbreeze AB (Class B)
ZORDIX-B.ST, Zordix AB (Class B)
MAGI.ST, Magnolia Bostad AB
FRAG.ST, Fabege AB
GCOR.ST, Gofore Plc
LADYLU.ST, Lady Luck Media AB
SOZAP.ST, Södra Cell International AB
QIIWI.ST, Qiiwi Games AB
